"4326","#doc=aslmusicalreact.2.txt","","","","","","","","","","","","","",""
"4327","1","Реакция","РЕАКЦИЯ","S f inan nom sg","","","я","и","ц","к","а","е","S","РЕАКЦИЯ","S f inan nom sg"
"4328","2","во время","во время","ZERO","раздельно","","я","м","е","р","в"," ","ZERO","во время","ZERO"
"4329","3","просмотра","ПРОСМОТР","S m inan gen sg","","","а","р","т","о","м","с","S","ПРОСМОТР","S m inan gen sg"
"4330","4","видео","ВИДЕО","S n inan 0","","","о","е","д","и","в","","S","ВИДЕО","S n inan nonflex nonflex"
"4331","5",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4332","","","","","","","","","","","","","","",""
"4333","1","П","П","NONLEX","","","п","","","","","","S","П","S - - nonflex nonflex"
"4334","2","@","@","PUNC","","","","","","","","","PUNC","@","PUNC"
"4335","3","Очень","ОЧЕНЬ","ADV -","","","ь","н","е","ч","о","","ADV","ОЧЕНЬ","ADV -"
"4336","4","красивые","КРАСИВЫЙ","A - nom pl plen - -","","","е","ы","в","и","с","а","A","КРАСИВЫЙ","A - nom pl plen - -"
"4337","5","девушки","ДЕВУШКА","S f anim nom pl","","","и","к","ш","у","в","е","S","ДЕВУШКА","S f anim nom pl"
"4338","6",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4339","","","","","","","","","","","","","","",""
"4340","1","Это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4341","2","зеркало","ЗЕРКАЛО","S n inan nom sg","","","о","л","а","к","р","е","S","ЗЕРКАЛО","S n inan nom sg"
"4342","3","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4343","","","","","","","","","","","","","","",""
"4344","1","Это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4345","2","выглядит","ВЫГЛЯДЕТЬ","V ipf praes sg indic - 3p","","","т","и","д","я","л","г","V","ВЫГЛЯДЕТЬ","V ipf praes sg indic - 3p"
"4346","3","опасно","ОПАСНО","ADV -","","","о","н","с","а","п","о","ADV","ОПАСНО","ADV -"
"4347","4",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4348","","","","","","","","","","","","","","",""
"4349","1","Так","ТАК","ADV -","","","к","а","т","","","","ADV","ТАК","ADV -"
"4350","2","…","…","SENT","","","","","","","","","SENT","…","SENT"
"4351","","","","","","","","","","","","","","",""
"4352","1","О","О","INTJ","","","о","","","","","","INTJ","О","INTJ"
"4353","2","Боже","БОЖЕ","INTJ","","","е","ж","о","б","","","INTJ","БОЖЕ","INTJ"
"4354","3",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4355","4","это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4356","5","что","ЧТО","SPRO - nom sg n -","","","о","т","ч","","","","S","ЧТО","S n inan acc sg"
"4357","6","…","…","SENT","","","","","","","","","SENT","…","SENT"
"4358","","","","","","","","","","","","","","",""
"4359","1","О","О","INTJ","","","о","","","","","","INTJ","О","INTJ"
"4360","2","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4361","3","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4362","4",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4363","5","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4364","6","form","FORM","NONLEX","","","","","","","","","NONLEX","FORM","NONLEX"
